"agency_name","state_name","is_county","address","lat","long","population","source_type","source_method","state_ucr_link","national_sample"
"Abilene","Texas",FALSE,"Abilene, Texas",32.44645,-99.7475905,124413,"State UCR","Open Source","https://txucr.nibrs.com/SRSReport/CrimeTrends",TRUE
"Abington","Pennsylvania",FALSE,"Abington, Pennsylvania",40.1145785,-75.1218107,58429,"State UCR","Open Source","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends",TRUE
"Ada County","Idaho",TRUE,"Ada County, Idaho",43.4136539,-116.2367421,144346,"State UCR","Open Source","https://nibrs.isp.idaho.gov/CrimeInIdaho/Report/CrimeTrends",TRUE
"Adams County","Colorado",TRUE,"Adams County, Colorado",39.8714085,-104.2701374,103829,"State UCR","Open Source","https://coloradocrimestats.state.co.us/public/View/dispview.aspx",TRUE
"Aiken County","South Carolina",TRUE,"Aiken County, South Carolina",33.5723191,-81.6182086,112764,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"Akron","Ohio",FALSE,"Akron, Ohio",41.083064,-81.518485,188223,"State UCR","Provided by State UCR Program","https://ocjs.ohio.gov/",FALSE
"Alameda","California",FALSE,"Alameda, California",37.6090291,-121.899142,74458,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"Alameda County","California",TRUE,"Alameda County, California",37.6090291,-121.899142,165271,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"Albany","Georgia",FALSE,"Albany, Georgia",31.5782062,-84.1556809,66169,"Agency Aggregated","Open Source","https://www.albanyga.gov/crime-statistics",TRUE
"Albany","New York",FALSE,"Albany, New York",42.6511674,-73.754968,102095,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",FALSE
"Albany","Oregon",FALSE,"Albany, Oregon",44.6365071,-123.1059324,47795,"State UCR","Open Source","https://www.oregon.gov/osp/pages/uniform-crime-reporting-data.aspx",TRUE
"Albemarle County","Virginia",TRUE,"Albemarle County, Virginia",38.0085107,-78.6086754,117655,"State UCR","Provided by State UCR Program","From VA",TRUE
"Albuquerque","New Mexico",FALSE,"Albuquerque, New Mexico",35.0841034,-106.650985,558745,"Agency Aggregated","Open Source","https://www.cabq.gov/police/crime-statistics",TRUE
